Dairy/Fatty,Meat,Fruits/Vegetables/Plants,Cereals/Grains,Other
Butter,Chicken,Spices,Clif Z bar,Protein supplement
Butter oil,Duck,Basil,Zwieback,Nutritional supplement for people with diabetes
Cheese,Goose,Mustard,Cereals ready-to-eat,Salt
Cheese spread,Turkey,Vanilla extract,Cereals,Vinegar
Cream,Chicken patty,Capers,Milk and cereal bar,Babyfood
Eggnog,Ostrich,Horseradish,Rice and Wheat cereal bar,Salad dressing
Cream substitute,Turkey from whole,Split pea soup,Noodles,Sandwich spread
Dessert topping,Blood sausage,Split pea with ham soup,Bagels,Dressing
Sour cream,Bologna,Apples,Biscuits,Soup
Milk,Bratwurst,Apple juice,Bread,CAMPBELL'S
Whey,Braunschweiger (a liver sausage),Applesauce,Cake,Sauce
Yogurt,Frankfurter,Apricots,Cookies,Gravy
Egg,Ham,Apricot nectar,Puff pastry,Fish broth
Cheese sauce,Headcheese,Avocados,Crackers,Onion rings
Parmesan cheese topping,Knackwurst,Bananas,Cream puff shell,Alcoholic beverage
Cheese product,Roast beef,Blackberries,Croutons,Beverages
Dulce de Leche,Mortadella,Blackberry juice,Danish pastry,Carbonated beverage
Egg substitute,Pate,Cherries,Doughnuts,Alcoholic beverages
Ice cream,Pepperoni,Blueberries,Muffins,Malt beverage
Fat free ice cream,Pickle and pimiento loaf,Breadfruit,Ice cream cone,Strawberry-flavor beverage mix
Ice cream bar,Pork sausage,Carambola,Ice cream cones,Water
Kefir,Poultry salad sandwich spread,Cranberries,Pancakes plain,Miso
Light ice cream,Salami,Cranberry sauce,Pancakes,Soy sauce made from soy and wheat (shoyu)
Infant formula,Thuringer,Currants,Pie,Candies
Child formula,Turkey breast,Dates,Pie crust,Snacks
Toddler formula,Sausage,Figs,Phyllo dough,Baking chocolate
Fat,Luncheon meat,Fruit cocktail,Rolls,Fruit syrup
Lard,Scrapple,Grapefruit,Strudel,Syrup
Oil,Chicken breast,Grapefruit juice,Sweet rolls,Sherbet
Margarine,Kielbasa,Grape juice,Taco shells,Chocolate-flavored hazelnut spread
Shortening industrial,Bacon,Grapes,Tortillas,Syrups
Animal fat,Pork,Guavas,Leavening agents,Toppings
